emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
👨‍🦽‍➡,man in manual wheelchair: facing right,accessibility | dark skin tone | facing | man | manual | right | wheelchair,man in manual wheelchair: facing right | accessibility | dark skin tone | facing | man | manual | right | wheelchair,person activity,People & Body,person-activity,man in manual wheelchair facing right
👨‍🚀,man astronaut,astronaut | dark skin tone | man | rocket | space,man astronaut | astronaut | dark skin tone | man | rocket | space,person role,People & Body,person-role,man astronaut
👨‍🚒,man firefighter,dark skin tone | fire | firefighter | firetruck | man,man firefighter | dark skin tone | fire | firefighter | firetruck | man,person role,People & Body,person-role,man firefighter
👩,woman,adult | dark skin tone | lady | woman,woman | adult | dark skin tone | lady | woman,person,People & Body,person,woman
👩‍⚕,woman health worker,dark skin tone | doctor | health | healthcare | nurse | therapist | woman | worker,woman health worker | dark skin tone | doctor | health | healthcare | nurse | therapist | woman | worker,person role,People & Body,person-role,woman health worker
👩‍⚖,woman judge,dark skin tone | judge | justice | law | scales | woman,woman judge | dark skin tone | judge | justice | law | scales | woman,person role,People & Body,person-role,woman judge
👩‍✈,woman pilot,dark skin tone | pilot | plane | woman,woman pilot | dark skin tone | pilot | plane | woman,person role,People & Body,person-role,woman pilot
👩‍❤‍👨,"couple with heart: woman, man, light skin tone",anniversary | babe | bae | couple | dating | heart | kiss | love | man | person | relationship | romance | together | woman | you,"couple with heart: woman, man, light skin tone | anniversary | babe | bae | couple | dating | heart | kiss | love | man | person | relationship | romance | together | woman | you",family,People & Body,family,"couple with heart: woman, man"
👩‍❤‍👩,"couple with heart: woman, woman, light skin tone",anniversary | babe | bae | couple | dating | heart | kiss | love | person | relationship | romance | together | woman | you,"couple with heart: woman, woman, light skin tone | anniversary | babe | bae | couple | dating | heart | kiss | love | person | relationship | romance | together | woman | you",family,People & Body,family,"couple with heart: woman, woman"
👩‍❤‍💋‍👨,"kiss: woman, man, light skin tone",anniversary | babe | bae | couple | date | dating | heart | kiss | love | man | mwah | person | romance | together | woman | xoxo,"kiss: woman, man, light skin tone | anniversary | babe | bae | couple | date | dating | heart | kiss | love | man | mwah | person | romance | together | woman | xoxo",family,People & Body,family,"kiss: woman, man"
👩‍❤‍💋‍👩,"kiss: woman, woman, light skin tone",anniversary | babe | bae | couple | date | dating | heart | kiss | love | mwah | person | romance | together | woman | xoxo,"kiss: woman, woman, light skin tone | anniversary | babe | bae | couple | date | dating | heart | kiss | love | mwah | person | romance | together | woman | xoxo",family,People & Body,family,"kiss: woman, woman"
👩‍🌾,woman farmer,dark skin tone | farmer | gardener | rancher | woman,woman farmer | dark skin tone | farmer | gardener | rancher | woman,person role,People & Body,person-role,woman farmer
👩‍🍳,woman cook,chef | cook | dark skin tone | woman,woman cook | chef | cook | dark skin tone | woman,person role,People & Body,person-role,woman cook
👩‍🍼,woman feeding baby,baby | dark skin tone | feed | feeding | mom | mother | nanny | newborn | nursing | woman,woman feeding baby | baby | dark skin tone | feed | feeding | mom | mother | nanny | newborn | nursing | woman,person role,People & Body,person-role,woman feeding baby
👩‍🎓,woman student,dark skin tone | graduate | student | woman,woman student | dark skin tone | graduate | student | woman,person role,People & Body,person-role,woman student
👩‍🎤,woman singer,actor | dark skin tone | entertainer | rock | rockstar | singer | star | woman,woman singer | actor | dark skin tone | entertainer | rock | rockstar | singer | star | woman,person role,People & Body,person-role,woman singer
👩‍🎨,woman artist,artist | dark skin tone | palette | woman,woman artist | artist | dark skin tone | palette | woman,person role,People & Body,person-role,woman artist
👩‍🏫,woman teacher,dark skin tone | instructor | lecturer | professor | teacher | woman,woman teacher | dark skin tone | instructor | lecturer | professor | teacher | woman,person role,People & Body,person-role,woman teacher
👩‍🏭,woman factory worker,assembly | dark skin tone | factory | industrial | woman | worker,woman factory worker | assembly | dark skin tone | factory | industrial | woman | worker,person role,People & Body,person-role,woman factory worker
👩‍👦,"family: woman, boy",boy | child | family | woman,"family: woman, boy | boy | child | family | woman",family,People & Body,family,"family: woman, boy"
👩‍👦‍👦,"family: woman, boy, boy",boy | child | family | woman,"family: woman, boy, boy | boy | child | family | woman",family,People & Body,family,"family: woman, boy, boy"
👩‍👧,"family: woman, girl",child | family | girl | woman,"family: woman, girl | child | family | girl | woman",family,People & Body,family,"family: woman, girl"
👩‍👧‍👦,"family: woman, girl, boy",boy | child | family | girl | woman,"family: woman, girl, boy | boy | child | family | girl | woman",family,People & Body,family,"family: woman, girl, boy"
👩‍👧‍👧,"family: woman, girl, girl",child | family | girl | woman,"family: woman, girl, girl | child | family | girl | woman",family,People & Body,family,"family: woman, girl, girl"
👩‍👩‍👦,"family: woman, woman, boy",boy | child | family | woman,"family: woman, woman, boy | boy | child | family | woman",family,People & Body,family,"family: woman, woman, boy"
👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",boy | child | family | woman,"family: woman, woman, boy, boy | boy | child | family | woman",family,People & Body,family,"family: woman, woman, boy, boy"
👩‍👩‍👧,"family: woman, woman, girl",child | family | girl | woman,"family: woman, woman, girl | child | family | girl | woman",family,People & Body,family,"family: woman, woman, girl"
👩‍👩‍👧‍👦,"family: woman, woman, girl, boy",boy | child | family | girl | woman,"family: woman, woman, girl, boy | boy | child | family | girl | woman",family,People & Body,family,"family: woman, woman, girl, boy"
👩‍👩‍👧‍👧,"family: woman, woman, girl, girl",child | family | girl | woman,"family: woman, woman, girl, girl | child | family | girl | woman",family,People & Body,family,"family: woman, woman, girl, girl"
👩‍💻,woman technologist,coder | computer | dark skin tone | developer | inventor | software | technologist | woman,woman technologist | coder | computer | dark skin tone | developer | inventor | software | technologist | woman,person role,People & Body,person-role,woman technologist
👩‍💼,woman office worker,architect | business | dark skin tone | manager | office | white-collar | woman | worker,woman office worker | architect | business | dark skin tone | manager | office | white-collar | woman | worker,person role,People & Body,person-role,woman office worker
👩‍🔧,woman mechanic,dark skin tone | electrician | mechanic | plumber | tradesperson | woman,woman mechanic | dark skin tone | electrician | mechanic | plumber | tradesperson | woman,person role,People & Body,person-role,woman mechanic
👩‍🔬,woman scientist,biologist | chemist | dark skin tone | engineer | mathematician | physicist | scientist | woman,woman scientist | biologist | chemist | dark skin tone | engineer | mathematician | physicist | scientist | woman,person role,People & Body,person-role,woman scientist
👩‍🦯,woman with white cane,accessibility | blind | cane | dark skin tone | probing | white | woman,woman with white cane | accessibility | blind | cane | dark skin tone | probing | white | woman,person activity,People & Body,person-activity,woman with white cane
👩‍🦯‍➡,woman with white cane: facing right,accessibility | blind | cane | dark skin tone | facing | probing | right | white | woman,woman with white cane: facing right | accessibility | blind | cane | dark skin tone | facing | probing | right | white | woman,person activity,People & Body,person-activity,woman with white cane facing right
👩‍🦰,woman: red hair,adult | dark skin tone | lady | red hair | woman,woman: red hair | adult | dark skin tone | lady | red hair | woman,person,People & Body,person,woman: red hair
👩‍🦱,woman: curly hair,adult | curly hair | dark skin tone | lady | woman,woman: curly hair | adult | curly hair | dark skin tone | lady | woman,person,People & Body,person,woman: curly hair
👩‍🦲,woman: bald,adult | bald | dark skin tone | lady | woman,woman: bald | adult | bald | dark skin tone | lady | woman,person,People & Body,person,woman: bald
👩‍🦳,woman: white hair,adult | dark skin tone | lady | white hair | woman,woman: white hair | adult | dark skin tone | lady | white hair | woman,person,People & Body,person,woman: white hair
👩‍🦼,woman in motorized wheelchair,accessibility | dark skin tone | motorized | wheelchair | woman,woman in motorized wheelchair | accessibility | dark skin tone | motorized | wheelchair | woman,person activity,People & Body,person-activity,woman in motorized wheelchair
👩‍🦼‍➡,woman in motorized wheelchair: facing right,accessibility | dark skin tone | facing | motorized | right | wheelchair | woman,woman in motorized wheelchair: facing right | accessibility | dark skin tone | facing | motorized | right | wheelchair | woman,person activity,People & Body,person-activity,woman in motorized wheelchair facing right
👩‍🦽,woman in manual wheelchair,accessibility | dark skin tone | manual | wheelchair | woman,woman in manual wheelchair | accessibility | dark skin tone | manual | wheelchair | woman,person activity,People & Body,person-activity,woman in manual wheelchair
👩‍🦽‍➡,woman in manual wheelchair: facing right,accessibility | dark skin tone | facing | manual | right | wheelchair | woman,woman in manual wheelchair: facing right | accessibility | dark skin tone | facing | manual | right | wheelchair | woman,person activity,People & Body,person-activity,woman in manual wheelchair facing right
👩‍🚀,woman astronaut,astronaut | dark skin tone | rocket | space | woman,woman astronaut | astronaut | dark skin tone | rocket | space | woman,person role,People & Body,person-role,woman astronaut
👩‍🚒,woman firefighter,dark skin tone | fire | firefighter | firetruck | woman,woman firefighter | dark skin tone | fire | firefighter | firetruck | woman,person role,People & Body,person-role,woman firefighter
👪,family,child | family,family | child | family,person symbol,People & Body,person-symbol,family
👫,woman and man holding hands,bae | bestie | bff | couple | dark skin tone | dating | flirt | friends | hand | hold | man | twins | woman,woman and man holding hands | bae | bestie | bff | couple | dark skin tone | dating | flirt | friends | hand | hold | man | twins | woman,family,People & Body,family,woman and man holding hands
👬,men holding hands,bae | bestie | bff | boys | brothers | couple | dark skin tone | dating | flirt | friends | hand | hold | men | twins,men holding hands | bae | bestie | bff | boys | brothers | couple | dark skin tone | dating | flirt | friends | hand | hold | men | twins,family,People & Body,family,men holding hands
👭,women holding hands,bae | bestie | bff | couple | dark skin tone | dating | flirt | friends | girls | hand | hold | sisters | twins | women,women holding hands | bae | bestie | bff | couple | dark skin tone | dating | flirt | friends | girls | hand | hold | sisters | twins | women,family,People & Body,family,women holding hands
